0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
mention,mentioned;mentions,mentioned;mentioning,mentioning;mentionings,mentionings,,,,,,,,,,,,,
menu,menus,,,,,,,,,,,,,,,,
mere,merest,,,,,,,,,,,,,,,,
merely,,,,,,,,,,,,,,,,,
mess,messes,messed,messing,messings,,,,,,,,,,,,,
message,messages,messaged,messaging,messagings,,,,,,,,,,,,,
metal,metals,metalled,metalling,metallings,,,,,,,,,,,,,
meter,meters,metered,metering,metre,metres,,,,,,,,,,,,
method,methods,,,,,,,,,,,,,,,,
middle,middled;middles,middled;middling,middling;middlings,middlings,,,,,,,,,,,,,
might,mighta;mightn,mighta,,,,,,,,,,,,,,,
mile,miles,,,,,,,,,,,,,,,,
military,militaries,,,,,,,,,,,,,,,,
milk,milks,milked,milking,milkings,,,,,,,,,,,,,
mind,minded;minds,minded;minding,minding;mindings,mindings,,,,,,,,,,,,,
mine,mined;mines,mined;mining,mining,,,,,,,,,,,,,,
minimum,minima,minimums,,,,,,,,,,,,,,,
minister,ministers,ministered,ministering,ministerings,,,,,,,,,,,,,
minor,minors,,,,,,,,,,,,,,,,
minority,minorities,,,,,,,,,,,,,,,,
minute,minuted;minutes,minuted;minuting,minuting;minutings,minutings,,,,,,,,,,,,,
mirror,mirrors,mirrored,mirroring,mirrorings,,,,,,,,,,,,,
miss,missed;misses,missed;missing,missing;missings,missings,,,,,,,,,,,,,
mission,missions,,,,,,,,,,,,,,,,
mistake,mistakes,mistook,mistaking,mistakings,,,,,,,,,,,,,
mix,mixes,mixed,mixing,mixings,,,,,,,,,,,,,
mixture,mixtures,,,,,,,,,,,,,,,,
mobile,mobiles,,,,,,,,,,,,,,,,
mode,modes,,,,,,,,,,,,,,,,
model,models,modeled,modeling,modelled,modelling,modellings,,,,,,,,,,,
moderate,moderates,moderated,moderating,moderatings,,,,,,,,,,,,,
modern,moderns,,,,,,,,,,,,,,,,
modify,modifies,modified,modifying,modifyings,,,,,,,,,,,,,
module,modules,,,,,,,,,,,,,,,,
mom,moms,mommy,mommies,,,,,,,,,,,,,,
moment,moments,,,,,,,,,,,,,,,,
money,moneys;monied,moneyed;monied,moneyed,,,,,,,,,,,,,,
monitor,monitors,monitored,monitoring,monitorings,,,,,,,,,,,,,
month,months,,,,,,,,,,,,,,,,
monthly,,,,,,,,,,,,,,,,,
mood,moods,,,,,,,,,,,,,,,,
moon,moons,mooned,mooning,moonings,,,,,,,,,,,,,
moral,morals,,,,,,,,,,,,,,,,
more,,,,,,,,,,,,,,,,,
moreover,,,,,,,,,,,,,,,,,
morning,mornin;mornings,mornin,,,,,,,,,,,,,,,
mortgage,mortgages,mortgaged,mortgaging,mortgagings,,,,,,,,,,,,,
most,,,,,,,,,,,,,,,,,
mostly,,,,,,,,,,,,,,,,,
mother,mothered;mothers,mothered;mothering,mothering;motherings,motherings,,,,,,,,,,,,,
motion,motions,motioned,motioning,motionings,,,,,,,,,,,,,
motivate,motivates,motivated,motivating,motivatings,,,,,,,,,,,,,
motivation,motivations,,,,,,,,,,,,,,,,
motor,motors,motored,motoring,motorings,,,,,,,,,,,,,
mount,mounts,mounted,mounting,mountings,,,,,,,,,,,,,
mountain,mountains,,,,,,,,,,,,,,,,
mouse,mouses,mice,,,,,,,,,,,,,,,
mouth,mouths,mouthed,mouthing,mouthings,,,,,,,,,,,,,
move,moved;moves,moved;moving,moving;movings,movings,,,,,,,,,,,,,
movement,movements,,,,,,,,,,,,,,,,
movie,movies,,,,,,,,,,,,,,,,
much,,,,,,,,,,,,,,,,,
multiple,multiples,,,,,,,,,,,,,,,,
murder,murders,murdered,murdering,murderings,,,,,,,,,,,,,
muscle,muscles,muscled,muscling,musclings,,,,,,,,,,,,,
museum,museums,,,,,,,,,,,,,,,,
music,musics,,,,,,,,,,,,,,,,
musical,musicals,,,,,,,,,,,,,,,,
musician,musicians,,,,,,,,,,,,,,,,
must,musta;mustn,musta,,,,,,,,,,,,,,,
mutual,mutuals,,,,,,,,,,,,,,,,
myself,,,,,,,,,,,,,,,,,
mystery,mysteries,,,,,,,,,,,,,,,,
name,named;names,named;naming,naming;namings,namings,,,,,,,,,,,,,
narrative,narratives,,,,,,,,,,,,,,,,
narrow,narrows,narrowed,narrowing,narrower,narrowest,narrowings,,,,,,,,,,,
nation,nations,,,,,,,,,,,,,,,,
national,nationals,,,,,,,,,,,,,,,,
native,natives,,,,,,,,,,,,,,,,
natural,naturals,,,,,,,,,,,,,,,,
naturally,,,,,,,,,,,,,,,,,
nature,natures,natured,naturing,naturings,,,,,,,,,,,,,
near,neared;nears,neared;nearing,nearer;nearing,nearer;nearest,nearest,,,,,,,,,,,,
nearby,,,,,,,,,,,,,,,,,
nearly,,,,,,,,,,,,,,,,,
necessarily,,,,,,,,,,,,,,,,,
necessary,necessaries,,,,,,,,,,,,,,,,
neck,necks,necked,necking,neckings,,,,,,,,,,,,,
need,needed;needs,needed;needing,needing;needn,needn,,,,,,,,,,,,,
negative,negatives,negatived,negativing,negativings,,,,,,,,,,,,,
neglect,neglects,neglected,neglecting,neglectings,,,,,,,,,,,,,
negotiate,negotiates,negotiated,negotiating,negotiatings,,,,,,,,,,,,,
negotiation,negotiations,,,,,,,,,,,,,,,,
neighbor,neighbors,neighbored,neighboring,neighbour,neighbours,neighboured,neighbouring,neighbourings,,,,,,,,,
neighborhood,neighborhoods,neighbourhood,neighbourhoods,,,,,,,,,,,,,,
neither,,,,,,,,,,,,,,,,,
nerve,nerves,nerved,nerving,nervings,,,,,,,,,,,,,
nervous,,,,,,,,,,,,,,,,,
net,nets,netted,netting,nettings,,,,,,,,,,,,,
network,networks,networked,networking,networkings,,,,,,,,,,,,,
never,nevers,,,,,,,,,,,,,,,,
nevertheless,,,,,,,,,,,,,,,,,
new,newer;newest,newest,,,,,,,,,,,,,,,
newly,,,,,,,,,,,,,,,,,
news,,,,,,,,,,,,,,,,,
newspaper,newspapers,,,,,,,,,,,,,,,,
next,,,,,,,,,,,,,,,,,
nice,nicer;nicest,nicest,,,,,,,,,,,,,,,
night,nights;nite,nite;nites,nites,,,,,,,,,,,,,,
no,nos,,,,,,,,,,,,,,,,
nobody,nobodies;nobodys,nobodies,,,,,,,,,,,,,,,
noise,noises,,,,,,,,,,,,,,,,
none,,,,,,,,,,,,,,,,,
nor,,,,,,,,,,,,,,,,,
normal,normals,,,,,,,,,,,,,,,,
normally,,,,,,,,,,,,,,,,,
north,norths,,,,,,,,,,,,,,,,
northern,northerns,,,,,,,,,,,,,,,,
nose,noses,nosed,nosing,nosings,,,,,,,,,,,,,
not,nots;t,nots,,,,,,,,,,,,,,,
note,noted;notes,noted;noting,noting;notings,notings,,,,,,,,,,,,,
nothing,nothin,,,,,,,,,,,,,,,,
notice,noticed;notices,noticed;noticing,noticing;noticings,noticings,,,,,,,,,,,,,
notion,notions,,,,,,,,,,,,,,,,
noun,nouns,,,,,,,,,,,,,,,,
novel,novels,,,,,,,,,,,,,,,,
now,,,,,,,,,,,,,,,,,
nowadays,,,,,,,,,,,,,,,,,
nowhere,,,,,,,,,,,,,,,,,
nuclear,nuclears,,,,,,,,,,,,,,,,
number,numbered;numbers,numbered;numbering,numbering;numberings,numberings,,,,,,,,,,,,,
numerous,,,,,,,,,,,,,,,,,
nurse,nurses,nursed,nursing,nursings,,,,,,,,,,,,,
object,objects,objected,objecting,objectings,,,,,,,,,,,,,
objective,objectives,,,,,,,,,,,,,,,,
obligation,obligations,,,,,,,,,,,,,,,,
observation,observations,,,,,,,,,,,,,,,,
observe,observes,observed,observing,observings,,,,,,,,,,,,,
obvious,,,,,,,,,,,,,,,,,
obviously,,,,,,,,,,,,,,,,,
occasion,occasions,occasioned,occasioning,occasionings,,,,,,,,,,,,,
occasionally,,,,,,,,,,,,,,,,,
occupy,occupies,occupied,occupying,occupyed,,,,,,,,,,,,,
occur,occurs,occurred,occurring,occurrings,,,,,,,,,,,,,
ocean,oceans,,,,,,,,,,,,,,,,
odd,odder,oddest,,,,,,,,,,,,,,,
of,,,,,,,,,,,,,,,,,
off,offed;offs,offed;offing,offing;offings,offings,,,,,,,,,,,,,
offense,offenses,offence,offences,,,,,,,,,,,,,,
offer,offered;offers,offered;offerring,offerred;offerring,offering;offerred,offering;offerings,offerings,,,,,,,,,,,
office,offices,,,,,,,,,,,,,,,,
officer,officers,officered,officering,officerings,,,,,,,,,,,,,
official,officials,,,,,,,,,,,,,,,,
often,,,,,,,,,,,,,,,,,
oil,oils,oiled,oiling,oilings,,,,,,,,,,,,,
okay,okayed;okays,okayed;okaying,ok;okaying,ok,,,,,,,,,,,,,
old,older;oldest,oldest;olds,olds,,,,,,,,,,,,,,
on,,,,,,,,,,,,,,,,,
once,onces,,,,,,,,,,,,,,,,
one,ones,,,,,,,,,,,,,,,,
online,,,,,,,,,,,,,,,,,
only,,,,,,,,,,,,,,,,,
onto,,,,,,,,,,,,,,,,,
open,opened;opens,opened;opening,opening;openings,openings,,,,,,,,,,,,,
opera,operas,,,,,,,,,,,,,,,,
operate,operates,operated,operating,operatings,,,,,,,,,,,,,
operation,operations,,,,,,,,,,,,,,,,
operator,operators,,,,,,,,,,,,,,,,
opinion,opinions,opinioned,opinioning,opinionings,,,,,,,,,,,,,
opponent,opponents,,,,,,,,,,,,,,,,
opportunity,opportunities,,,,,,,,,,,,,,,,
oppose,opposes,opposed,opposing,opposings,,,,,,,,,,,,,
opposite,opposites,,,,,,,,,,,,,,,,
opposition,oppositions,,,,,,,,,,,,,,,,
option,options,,,,,,,,,,,,,,,,
or,,,,,,,,,,,,,,,,,
orange,oranges,,,,,,,,,,,,,,,,
order,ordered;orders,ordered;ordering,ordering;orderings,orderings,,,,,,,,,,,,,
ordinary,,,,,,,,,,,,,,,,,
organic,organics,,,,,,,,,,,,,,,,
organization,organizations,organisation,organisations,,,,,,,,,,,,,,
organize,organizes,organized,organizing,organise,organises,organised,organising,organisings,,,,,,,,,
origin,origins,,,,,,,,,,,,,,,,
original,originals,,,,,,,,,,,,,,,,
originally,,,,,,,,,,,,,,,,,
other,others,,,,,,,,,,,,,,,,
otherwise,,,,,,,,,,,,,,,,,
ought,oughta;oughtn,oughta;outta,outta,,,,,,,,,,,,,,
ourselves,ourself,,,,,,,,,,,,,,,,
out,outed;outs,outed;outing,outing;outings,outings,,,,,,,,,,,,,
outcome,outcomes,,,,,,,,,,,,,,,,
outline,outlines,outlined,outlining,outlinings,,,,,,,,,,,,,
output,outputs,outputted,outputting,outputtings,,,,,,,,,,,,,
outside,outsides,,,,,,,,,,,,,,,,
over,overs,,,,,,,,,,,,,,,,
overall,,,,,,,,,,,,,,,,,
overcome,overcomes,overcame,overcoming,overcomings,,,,,,,,,,,,,
overseas,oversea,,,,,,,,,,,,,,,,
owe,owes,owed,owing,owings,,,,,,,,,,,,,
own,owned;owns,owned;owning,owning;ownings,ownings,,,,,,,,,,,,,
owner,owners,,,,,,,,,,,,,,,,
ownership,ownerships,,,,,,,,,,,,,,,,
pace,paces,paced,pacing,pacings,,,,,,,,,,,,,
pack,packs,packed,packing,packings,,,,,,,,,,,,,
package,packages,packaged,packaging,packagings,,,,,,,,,,,,,
page,paged;pages,paged;paging,paging;pagings,pagings,,,,,,,,,,,,,
pain,pains,pained,paining,painings,,,,,,,,,,,,,
paint,paints,painted,painting,paintings,,,,,,,,,,,,,
pair,pairs,paired,pairing,pairings,,,,,,,,,,,,,
pale,pales,paled,paling,paler,palest,,,,,,,,,,,,
panel,panels,panelled,panelling,panellings,paneled,paneling,panelings,,,,,,,,,,
panic,panics,panick,panicked,panicking,panickings,,,,,,,,,,,,
paper,papered;papers,papered;papering,papering;paperings,paperings,,,,,,,,,,,,,
paragraph,paragraphs,paragraphed,paragraphing,paragraphings,,,,,,,,,,,,,
parallel,parallels,paralleled,paralleling,parallelings,,,,,,,,,,,,,
parent,parented;parents,parented;parenting,parenting;parentings,parentings,,,,,,,,,,,,,
park,parked;parks,parked;parking,parking;parkings,parkings,,,,,,,,,,,,,
part,parted;parts,parted;parting,parting;partings,partings,,,,,,,,,,,,,
participant,participants,,,,,,,,,,,,,,,,
participate,participates,participated,participating,participatings,,,,,,,,,,,,,
participation,participations,,,,,,,,,,,,,,,,
particular,particulars,,,,,,,,,,,,,,,,
particularly,,,,,,,,,,,,,,,,,
partly,,,,,,,,,,,,,,,,,
partner,partners,partnered,partnering,partnerings,,,,,,,,,,,,,
partnership,partnerships,,,,,,,,,,,,,,,,
party,partied;parties,partied;partying,partying;partys,partys,,,,,,,,,,,,,
pass,passed;passes,passed;passing,passing;passings,passings,,,,,,,,,,,,,
passage,passages,,,,,,,,,,,,,,,,
passenger,passengers,,,,,,,,,,,,,,,,
passion,passions,,,,,,,,,,,,,,,,
past,,,,,,,,,,,,,,,,,
path,paths,,,,,,,,,,,,,,,,
patient,patients,,,,,,,,,,,,,,,,
pattern,patterns,patterned,patterning,patternings,,,,,,,,,,,,,
pause,paused;pauses,paused;pausing,pausing;pausings,pausings,,,,,,,,,,,,,
pay,paid;pays,paid;payed,payed;paying,paying;payings,payings,,,,,,,,,,,,
payment,payments,,,,,,,,,,,,,,,,
peace,peaces,,,,,,,,,,,,,,,,
peak,peaks,peaked,peaking,peakings,,,,,,,,,,,,,
peer,peers,peered,peering,peerings,,,,,,,,,,,,,
pen,pens,penned,penning,pennings,,,,,,,,,,,,,
penalty,penalties,,,,,,,,,,,,,,,,
pension,pensions,pensioned,pensioning,pensionings,,,,,,,,,,,,,
people,peopled;peoples,peopled;peopling,peopling;peoplings,peoplings,,,,,,,,,,,,,
per,,,,,,,,,,,,,,,,,
perceive,perceives,perceived,perceiving,perceivings,,,,,,,,,,,,,
percent,percents,,,,,,,,,,,,,,,,
percentage,percentages,,,,,,,,,,,,,,,,
perception,perceptions,,,,,,,,,,,,,,,,
perfect,perfects,perfected,perfecting,perfectings,,,,,,,,,,,,,
perfectly,,,,,,,,,,,,,,,,,
perform,performs,performed,performing,performings,,,,,,,,,,,,,
performance,performances,,,,,,,,,,,,,,,,
perhaps,,,,,,,,,,,,,,,,,
period,periods,,,,,,,,,,,,,,,,
permanent,,,,,,,,,,,,,,,,,
permission,permissions,,,,,,,,,,,,,,,,
permit,permits,permitted,permitting,permittings,,,,,,,,,,,,,
person,persons,,,,,,,,,,,,,,,,
personal,personals,,,,,,,,,,,,,,,,
personality,personalities,,,,,,,,,,,,,,,,
personally,,,,,,,,,,,,,,,,,
personnel,personnels,,,,,,,,,,,,,,,,
perspective,perspectives,,,,,,,,,,,,,,,,
persuade,persuades,persuaded,persuading,persuadings,,,,,,,,,,,,,
phase,phases,phased,phasing,phasings,,,,,,,,,,,,,
phenomenon,phenomena,,,,,,,,,,,,,,,,
philosophy,philosophies,,,,,,,,,,,,,,,,
phone,phoned;phones,phoned;phoning,phoning;phonings,phonings,,,,,,,,,,,,,
photo,photos,,,,,,,,,,,,,,,,
photograph,photographs,photographed,photographing,photographings,,,,,,,,,,,,,
phrase,phrases,phrased,phrasing,phrasings,,,,,,,,,,,,,
physical,physicals,,,,,,,,,,,,,,,,
piano,pianos,,,,,,,,,,,,,,,,
pick,picked;picks,picked;picking,picking;pickings,pickings,,,,,,,,,,,,,
picture,pictured;pictures,pictured;picturing,picturing;picturings,picturings,,,,,,,,,,,,,
piece,pieced;pieces,pieced;piecing,piecing;piecings,piecings,,,,,,,,,,,,,
pig,pigs,pigged,pigging,piggings,,,,,,,,,,,,,
pile,piles,piled,piling,pilings,,,,,,,,,,,,,
pilot,pilots,piloted,piloting,pilotings,,,,,,,,,,,,,
pink,pinks,pinked,pinking,pinker,pinkest,,,,,,,,,,,,
pipe,pipes,piped,piping,pipings,,,,,,,,,,,,,
pitch,pitches,pitched,pitching,pitchings,,,,,,,,,,,,,
place,placed;places,placed;placing,placing;placings,placings,,,,,,,,,,,,,
plain,plains,plainer,plainest,,,,,,,,,,,,,,
plan,planned;plans,planned;planning,planning;plannings,plannings,,,,,,,,,,,,,
plane,planes,planed,planing,planings,,,,,,,,,,,,,
planet,planets,,,,,,,,,,,,,,,,
plant,plants,planted,planting,plantings,,,,,,,,,,,,,
plastic,plastics,,,,,,,,,,,,,,,,
plate,plates,plated,plating,platings,,,,,,,,,,,,,
platform,platforms,,,,,,,,,,,,,,,,
play,played;plays,played;playing,playing;playings,playings,,,,,,,,,,,,,
player,players,,,,,,,,,,,,,,,,
pleasant,pleasanter,pleasantest,,,,,,,,,,,,,,,
please,pleased;pleases,pleased;pleasing,pleasing;pleasings,pleasings,,,,,,,,,,,,,
pleasure,pleasures,pleasured,pleasuring,pleasurings,,,,,,,,,,,,,
plenty,plenties,,,,,,,,,,,,,,,,
plot,plots,plotted,plotting,plottings,,,,,,,,,,,,,
plus,pluses,,,,,,,,,,,,,,,,
pocket,pockets,pocketed,pocketing,pocketings,,,,,,,,,,,,,
poem,poems,,,,,,,,,,,,,,,,
poet,poets,,,,,,,,,,,,,,,,
poetry,poetries,,,,,,,,,,,,,,,,
point,pointed;points,pointed;pointing,pointing;pointings,pointings,,,,,,,,,,,,,
police,policed;polices,policed;policing,policing;policings,policings,,,,,,,,,,,,,
policy,policies,,,,,,,,,,,,,,,,
political,politicals,,,,,,,,,,,,,,,,
politician,politicians,,,,,,,,,,,,,,,,
politics,,,,,,,,,,,,,,,,,
poll,polls,polled,polling,pollings,,,,,,,,,,,,,
pollution,pollutions,,,,,,,,,,,,,,,,
pool,pools,pooled,pooling,poolings,,,,,,,,,,,,,
poor,poorer,poorest,,,,,,,,,,,,,,,
pop,pops,popped,popping,poppings,,,,,,,,,,,,,
popular,populars,,,,,,,,,,,,,,,,
population,populations,,,,,,,,,,,,,,,,
port,ports,ported,porting,portings,,,,,,,,,,,,,
portion,portions,portioned,portioning,portionings,,,,,,,,,,,,,
portrait,portraits,,,,,,,,,,,,,,,,
pose,poses,posed,posing,posings,,,,,,,,,,,,,
position,positioned;positions,positioned;positioning,positioning;positionings,positionings,,,,,,,,,,,,,
positive,positives,,,,,,,,,,,,,,,,
possess,possesses,possessed,possessing,possessings,,,,,,,,,,,,,
possession,possessions,,,,,,,,,,,,,,,,
possibility,possibilities,,,,,,,,,,,,,,,,
possible,possibles,,,,,,,,,,,,,,,,
possibly,possiblies,,,,,,,,,,,,,,,,
post,posts,posted,posting,postings,,,,,,,,,,,,,
pot,pots,potted,potting,pottings,,,,,,,,,,,,,
potato,potatoes,potatos,,,,,,,,,,,,,,,
potential,potentials,,,,,,,,,,,,,,,,
potentially,,,,,,,,,,,,,,,,,
pound,pounded;pounds,pounded;pounding,pounding;poundings,poundings,,,,,,,,,,,,,
pour,pours,poured,pouring,pourings,,,,,,,,,,,,,
poverty,,,,,,,,,,,,,,,,,
power,powered;powers,powered;powering,powering;powerings,powerings,,,,,,,,,,,,,
powerful,,,,,,,,,,,,,,,,,
practical,practicals,,,,,,,,,,,,,,,,
practice,practices,practiced,practicing,practise,practised,practises,practising,practisings,,,,,,,,,
praise,praises,praised,praising,praisings,,,,,,,,,,,,,
pray,prays,prayed,praying,prayings,,,,,,,,,,,,,
precise,,,,,,,,,,,,,,,,,
precisely,,,,,,,,,,,,,,,,,
predict,predicts,predicted,predicting,predictings,,,,,,,,,,,,,
prefer,prefers,prefered,preferring,preferred,prefering,preferings,,,,,,,,,,,
preference,preferences,,,,,,,,,,,,,,,,
pregnancy,pregnancies,,,,,,,,,,,,,,,,
pregnant,,,,,,,,,,,,,,,,,
premise,premises,premised,premising,premisings,,,,,,,,,,,,,
preparation,preparations,,,,,,,,,,,,,,,,
prepare,prepares,prepared,preparing,preparings,,,,,,,,,,,,,
presence,presences,,,,,,,,,,,,,,,,
present,presented;presents,presented;presenting,presenting;presentings,presentings,,,,,,,,,,,,,
presentation,presentations,,,,,,,,,,,,,,,,
preserve,preserves,preserved,preserving,preservings,,,,,,,,,,,,,
president,presidents,,,,,,,,,,,,,,,,
presidential,presidentials,,,,,,,,,,,,,,,,
press,pressed;presses,pressed;pressing,pressing;pressings,pressings,,,,,,,,,,,,,
pressure,pressures,pressured,pressuring,pressurings,,,,,,,,,,,,,
presumably,,,,,,,,,,,,,,,,,
pretend,pretends,pretended,pretending,pretendings,,,,,,,,,,,,,
pretty,pretties;prettyed,prettyed;prettying,prettier;prettying,prettier;prettiest,prettiest,,,,,,,,,,,,
prevent,prevents,prevented,preventing,preventings,,,,,,,,,,,,,
previous,,,,,,,,,,,,,,,,,
previously,,,,,,,,,,,,,,,,,
price,priced;prices,priced;pricing,pricing;pricings,pricings,,,,,,,,,,,,,
pride,prides,prided,priding,pridings,,,,,,,,,,,,,
primarily,primarilies,,,,,,,,,,,,,,,,
primary,primaries,,,,,,,,,,,,,,,,
prime,primes,primed,priming,primings,,,,,,,,,,,,,
principal,principals,,,,,,,,,,,,,,,,
principle,principles,principled,,,,,,,,,,,,,,,
print,prints,printed,printing,printings,,,,,,,,,,,,,
printer,printers,,,,,,,,,,,,,,,,
prior,priors,,,,,,,,,,,,,,,,
priority,priorities,,,,,,,,,,,,,,,,
prison,prisons,prisoned,prisoning,prisonings,,,,,,,,,,,,,
prisoner,prisoners,,,,,,,,,,,,,,,,
private,,,,,,,,,,,,,,,,,
privilege,privileges,privileged,privileging,privilegings,,,,,,,,,,,,,
prize,prizes,prized,prizing,prise,prises,prised,prising,prisings,,,,,,,,,
pro,pros,,,,,,,,,,,,,,,,
probability,probabilities,,,,,,,,,,,,,,,,
probably,,,,,,,,,,,,,,,,,
problem,problems,,,,,,,,,,,,,,,,
procedure,procedures,,,,,,,,,,,,,,,,
proceed,proceeds,proceeded,proceeding,proceedings,,,,,,,,,,,,,
process,processed;processes,processed;processing,processing;processings,processings,,,,,,,,,,,,,
produce,produced;produces,produced;producing,producing;producings,producings,,,,,,,,,,,,,
producer,producers,,,,,,,,,,,,,,,,
product,products,,,,,,,,,,,,,,,,
production,productions,,,,,,,,,,,,,,,,
profession,professions,,,,,,,,,,,,,,,,
professional,professionals,,,,,,,,,,,,,,,,
professor,professors,prof,,,,,,,,,,,,,,,
profile,profiles,profiled,profiling,profilings,,,,,,,,,,,,,
profit,profits,profited,profiting,profitings,,,,,,,,,,,,,
program,programed;programs,programed;programing,programing;programme,programme;programmes,programmed;programmes,programmed;programming,programming;programmings,programmings,,,,,,,,,
progress,progresses,progressed,progressing,progressings,,,,,,,,,,,,,
project,projected;projects,projected;projecting,projecting;projectings,projectings,,,,,,,,,,,,,
promise,promises,promised,promising,promisings,,,,,,,,,,,,,
promote,promotes,promoted,promoting,promotings,,,,,,,,,,,,,
promotion,promotions,,,,,,,,,,,,,,,,
prompt,prompts,prompted,prompting,promptings,,,,,,,,,,,,,
proof,proofs,proofed,proofing,proofings,,,,,,,,,,,,,
proper,propers,,,,,,,,,,,,,,,,
properly,,,,,,,,,,,,,,,,,
property,properties,,,,,,,,,,,,,,,,
proportion,proportions,proportioned,proportioning,proportionings,,,,,,,,,,,,,
proposal,proposals,,,,,,,,,,,,,,,,
propose,proposes,proposed,proposing,proposings,,,,,,,,,,,,,
prospect,prospects,prospected,prospecting,prospectings,,,,,,,,,,,,,
protect,protects,protected,protecting,protectings,,,,,,,,,,,,,
protection,protections,,,,,,,,,,,,,,,,
protein,proteins,,,,,,,,,,,,,,,,
protest,protests,protested,protesting,protestings,,,,,,,,,,,,,
proud,prouder,proudest,,,,,,,,,,,,,,,
prove,proves,proved,proving,proven,,,,,,,,,,,,,
provide,provided;provides,provided;providing,providing;providings,providings,,,,,,,,,,,,,
province,provinces,,,,,,,,,,,,,,,,
provision,provisions,provisioned,provisioning,provisionings,,,,,,,,,,,,,
psychological,psychologicals,,,,,,,,,,,,,,,,
pub,pubs,,,,,,,,,,,,,,,,
public,publics,,,,,,,,,,,,,,,,
publication,publications,,,,,,,,,,,,,,,,
publisher,publishers,,,,,,,,,,,,,,,,
pull,pulled;pulls,pulled;pulling,pulling;pullings,pullings,,,,,,,,,,,,,
pump,pumps,pumped,pumping,pumpings,,,,,,,,,,,,,
pupil,pupils,,,,,,,,,,,,,,,,
purchase,purchases,purchased,purchasing,purchasings,,,,,,,,,,,,,
pure,purer,purest,,,,,,,,,,,,,,,
purpose,purposed;purposes,purposed;purposing,purposing;purposings,purposings,,,,,,,,,,,,,
pursue,pursues,pursued,pursuing,pursuings,,,,,,,,,,,,,
push,pushed;pushes,pushed;pushing,pushing;pushings,pushings,,,,,,,,,,,,,
put,puts;putted,putted;putting,putting;puttings,puttings,,,,,,,,,,,,,
qualification,qualifications,,,,,,,,,,,,,,,,
qualify,qualifies,qualified,qualifying,qualifyings,,,,,,,,,,,,,
quality,qualities,,,,,,,,,,,,,,,,
quantity,quantities,,,,,,,,,,,,,,,,
quarter,quarters,quartered,quartering,quarterings,,,,,,,,,,,,,
question,questioned;questions,questioned;questioning,questioning;questionings,questionings,,,,,,,,,,,,,
quick,quicker;quickest,quickest,,,,,,,,,,,,,,,
quickly,,,,,,,,,,,,,,,,,
quiet,quiets,quieted,quieting,quieter,quietest,,,,,,,,,,,,
quietly,,,,,,,,,,,,,,,,,
quite,,,,,,,,,,,,,,,,,
quote,quotes,quoted,quoting,quotings,,,,,,,,,,,,,
race,races,raced,racing,racings,,,,,,,,,,,,,
racial,racials,,,,,,,,,,,,,,,,
radical,radicals,,,,,,,,,,,,,,,,
radio,radios,radioed,radioing,radioings,,,,,,,,,,,,,
rail,rails,railed,railing,railings,,,,,,,,,,,,,
rain,rains,rained,raining,rainings,,,,,,,,,,,,,
raise,raised;raises,raised;raising,raising;raisings,raisings,,,,,,,,,,,,,
random,,,,,,,,,,,,,,,,,
range,ranges,ranged,ranging,rangings,,,,,,,,,,,,,
rank,ranks,ranked,ranking,rankings,,,,,,,,,,,,,
rapid,,,,,,,,,,,,,,,,,
rapidly,,,,,,,,,,,,,,,,,
rare,rarer,rarest,,,,,,,,,,,,,,,
rarely,,,,,,,,,,,,,,,,,
rat,rats,ratted,ratting,rattings,,,,,,,,,,,,,
rate,rated;rates,rated;rating,rating;ratings,ratings,,,,,,,,,,,,,
rather,,,,,,,,,,,,,,,,,
ratio,ratios,,,,,,,,,,,,,,,,
raw,rawer,rawest,,,,,,,,,,,,,,,
reach,reaches,reached,reaching,reachings,,,,,,,,,,,,,
react,reacts,reacted,reacting,reactings,,,,,,,,,,,,,
reaction,reactions,,,,,,,,,,,,,,,,
read,readed;reads,readed;reading,reading;readings,readings,,,,,,,,,,,,,
reader,readers,,,,,,,,,,,,,,,,
ready,readied;readies,readied;readyed,readyed;readying,readying;readyings,readier;readyings,readier;readiest,readiest,,,,,,,,,,
real,realer,,,,,,,,,,,,,,,,
reality,realities,,,,,,,,,,,,,,,,
realize,realized;realizes,realized;realizing,realise;realizing,realise;realises,realised;realises,realised;realising,realising;realisings,realisings,,,,,,,,,
really,,,,,,,,,,,,,,,,,
rear,rears,reared,rearing,rearings,,,,,,,,,,,,,
reason,reasoned;reasons,reasoned;reasoning,reasoning;reasonings,reasonings,,,,,,,,,,,,,
reasonable,reasonables,,,,,,,,,,,,,,,,
reasonably,,,,,,,,,,,,,,,,,
recall,recalls,recalled,recalling,recallings,,,,,,,,,,,,,
receive,received;receives,received;receiving,receiving;receivings,receivings,,,,,,,,,,,,,
recent,recents,,,,,,,,,,,,,,,,
recently,,,,,,,,,,,,,,,,,
reckon,reckons,reckoned,reckoning,reckonings,,,,,,,,,,,,,
recognition,recognitions,,,,,,,,,,,,,,,,
recognize,recognizes,recognized,recognizing,recognise,recognises,recognised,recognising,recognisings,,,,,,,,,
recommend,recommends,recommended,recommending,recommendings,,,,,,,,,,,,,
recommendation,recommendations,,,,,,,,,,,,,,,,
record,recorded;records,recorded;recording,recording;recordings,recordings,,,,,,,,,,,,,
recover,recovers,recovered,recovering,recoverings,,,,,,,,,,,,,
